eventType,timestamp,x,y
mousemove,2024-08-27T06:16:52.899Z,750,460
mousemove,2024-08-27T06:16:53.228Z,750,460
mousemove,2024-08-27T06:16:53.521Z,750,460
mousemove,2024-08-27T06:16:53.839Z,750,460
mousemove,2024-08-27T06:16:54.157Z,750,460
mousemove,2024-08-27T06:16:54.452Z,750,460
mousemove,2024-08-27T06:16:54.748Z,750,460
mousemove,2024-08-27T06:16:55.052Z,749,460
mousemove,2024-08-27T06:16:55.370Z,749,460
mousemove,2024-08-27T06:16:55.659Z,748,460
mousemove,2024-08-27T06:16:55.940Z,747,460
mousemove,2024-08-27T06:16:56.237Z,746,460
mousemove,2024-08-27T06:16:56.527Z,745,460
mousemove,2024-08-27T06:16:56.826Z,744,460
mousemove,2024-08-27T06:16:57.119Z,743,460
mousemove,2024-08-27T06:16:57.411Z,741,460
mousemove,2024-08-27T06:16:57.705Z,739,460
mousemove,2024-08-27T06:16:57.994Z,738,460
mousemove,2024-08-27T06:16:58.288Z,736,460
mousemove,2024-08-27T06:16:58.580Z,734,460
mousemove,2024-08-27T06:16:58.876Z,731,459
mousemove,2024-08-27T06:16:59.170Z,729,459
mousemove,2024-08-27T06:16:59.466Z,726,459
mousemove,2024-08-27T06:16:59.761Z,724,459
mousemove,2024-08-27T06:17:00.053Z,721,458
mousemove,2024-08-27T06:17:00.349Z,718,458
mousemove,2024-08-27T06:17:00.647Z,715,458
mousemove,2024-08-27T06:17:00.934Z,711,457
mousemove,2024-08-27T06:17:01.232Z,708,457
mousemove,2024-08-27T06:17:01.523Z,704,456
mousemove,2024-08-27T06:17:01.817Z,701,456
mousemove,2024-08-27T06:17:02.114Z,697,456
mousemove,2024-08-27T06:17:02.409Z,693,455
mousemove,2024-08-27T06:17:02.752Z,518,433
click,2024-08-27T06:17:02.754Z,518,433
